id, x, y, freq, label
536, 36.119286, 43.139320, 44, articles
537, 16.411158, 54.837528, 44, think
538, 23.449932, 53.325253, 44, freedom
539, 36.973904, 40.241230, 31, governor
540, 2.645719, -61.730900, 41, great
541, 33.181808, 45.891228, 43, park
542, 25.780170, 50.795986, 43, hearing
543, 26.649746, 50.689919, 43, jobs
544, -39.522701, 30.880781, 44, supreme
545, 22.535355, 53.384716, 44, described
546, -2.015951, -62.043774, 44, try
547, 17.672979, 55.147358, 43, following
548, 30.401917, 47.983479, 43, september
549, -4.698213, -61.802490, 43, treatment
550, 20.352942, 53.258987, 42, formed
551, -13.044414, -58.210354, 43, approach
552, -3.666858, -62.183346, 43, showed
553, 35.349808, 40.434669, 42, live
554, 2.784144, -61.993664, 43, majority
555, 24.571939, 53.145012, 43, minority
556, 35.625130, 39.133163, 39, francisco
557, 30.085348, 46.961636, 38, feminist
558, 24.791584, 50.481293, 43, psychiatric
559, 33.879223, 43.334698, 42, churches
560, 2.430969, -62.154938, 42, percent
561, 36.641418, 39.563622, 41, number
562, -1.350322, -62.288597, 43, war
563, 23.223326, 52.751141, 42, questions
564, 29.858053, 48.086960, 40, ended
565, 30.113693, 47.227749, 43, idea
566, 2.880526, -62.370857, 42, drug
567, 23.691095, 53.133892, 43, quite
568, -5.513626, -61.701530, 5, co
569, 2.165626, -62.462826, 42, final
570, 2.448144, -62.973953, 42, federal
571, 24.573568, 51.792679, 41, suggested
572, 23.571672, 51.764622, 42, outside
573, 29.752007, 46.609566, 41, harassment
574, 32.684544, 45.103275, 42, believed
575, 34.977196, 41.695122, 40, child
576, -5.956059, -62.594532, 39, mark
577, 31.546953, 44.432144, 23, middle
578, -4.835747, -61.827339, 40, blood
579, 31.042757, 46.695873, 41, town
580, -9.582285, -60.179966, 34, air
581, 19.057877, 53.690617, 42, question
582, 11.402866, 54.482494, 42, visible
583, -10.492144, -60.015877, 40, military
584, 28.472364, 48.654491, 40, anything
585, -7.254346, -61.264267, 41, past
586, -1.417743, -62.134510, 42, toward
587, -1.315712, -63.009617, 41, saloons
588, 28.711290, 48.902885, 42, real
589, -0.696688, -62.550770, 42, united
590, 33.319309, 44.883377, 35, pro
591, 15.993946, 55.348919, 42, recalled
592, 33.844234, 43.110790, 39, however
593, 36.801571, 39.995842, 39, strategy
594, 36.754475, 38.785835, 40, stage
595, 23.226732, 51.470425, 39, free
596, 35.708878, 41.123936, 40, give
597, 23.674618, 50.538414, 41, cases
598, 29.104794, 49.906666, 40, oral
599, 19.104984, 54.268074, 41, lost
600, 19.547396, 52.751617, 39, last
601, 1.743068, -62.912437, 32, prosecutor
602, 27.290308, 50.013596, 41, clear
603, 28.016338, 49.175541, 41, done
604, 17.177013, 55.410946, 41, create
605, 35.999920, 41.756336, 38, j
606, 14.001310, 56.253517, 38, statement
607, 17.044220, 56.238995, 39, repeal
608, -0.253322, 57.156609, 40, conversation
609, 13.018707, 54.787033, 36, safe
610, 33.347404, 43.923080, 35, gaylord
611, 2.109884, -61.926792, 39, sexuality
612, 25.684748, 51.958340, 38, straight
613, -13.806944, 50.357574, 40, warren
614, 24.126629, 51.683964, 40, stop
615, -14.591618, 46.851257, 40, claimed
616, -16.807333, -55.765549, 40, michael
617, 32.028156, 45.331173, 40, behavior
618, 32.799500, 44.276176, 40, opened
619, 26.575964, 50.038128, 38, acts
620, 32.725060, 45.290455, 39, directly
621, 28.498449, 48.679771, 39, involved
622, 20.936995, 53.389545, 38, conference
623, 36.353687, 40.484180, 39, walked
624, 21.487177, 53.476887, 30, sirico
625, 24.663740, 50.792397, 39, whatever
626, 19.758512, 54.229870, 30, archdiocese
627, 0.132619, -62.865757, 38, anyone
628, -11.844805, -58.841557, 5, su
629, 33.672798, 44.813236, 39, gone
630, 0.870734, -62.123619, 34, ment
631, 36.356476, 40.224167, 34, building
632, 2.119013, 54.716137, 15, author
633, 36.809933, 40.742970, 38, religious
634, 33.687515, 43.750660, 38, workers
635, 36.959538, 39.118721, 30, light
636, 13.259133, 55.687439, 36, general
637, 1.677002, -62.414619, 36, company
638, 0.509405, -63.705776, 38, introduction
639, 22.484282, 51.918003, 38, underground
640, 29.800476, 48.802193, 28, half
641, -11.583269, 51.175240, 38, announced
642, 18.496199, 54.393623, 37, decade
643, 16.987448, 54.639027, 34, single
644, 31.676598, 46.181129, 37, program
645, 35.501793, 41.900188, 36, fear
646, 35.966072, 40.113064, 38, reverend
647, 23.974308, 51.923885, 38, seen
648, 34.831219, 41.768444, 38, pay
649, 22.536390, 52.042854, 37, leave
650, 13.636873, 55.083874, 37, sick
651, 20.922861, 54.487831, 28, f
652, 10.598971, 55.015633, 37, dorians
653, 28.030149, 49.059933, 37, opponents
654, 20.884182, 53.240608, 37, jail
655, 32.942493, 44.896534, 35, head
656, 10.074134, 55.980583, 37, paper
657, 36.018734, 41.114391, 36, taking
658, 27.057489, 48.273964, 37, refuges
659, 11.629403, 55.367096, 36, space
660, -1.043596, 53.521751, 37, floor
661, 23.600122, 52.093189, 37, relationships
662, 25.056705, 51.691410, 35, written
663, 37.748928, 40.666985, 37, paperback
664, 23.157167, 52.560127, 35, less
665, 33.439919, 43.857357, 35, peter
666, 36.043629, 40.635971, 32, full
667, 28.896263, 49.064838, 36, issues
668, 19.797903, 53.458393, 35, privacy
669, 8.159888, 55.038467, 28, eight
670, -19.497074, 47.672440, 36, superior
671, 22.889376, 53.170742, 32, strong
672, 6.498497, 55.518272, 29, williams
